PFAM	Description	Type	Subset_Count	total_PFAMs_subset	total_genes_subset	Rest_Count	total_PFAMs_rest	total_genes_rest	Odds_ratio	P_Value	P_Value_Adj
PF08799	pre-mRNA processing factor 4 (PRP4) like	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF01498	Transposase	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF02567	Phenazine biosynthesis-like protein	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF03982	Diacylglycerol acyltransferase	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF01412	Putative GTPase activating protein for Arf	Other	0	172	181	5	10809	10903	0.0000	1.0	1.0
PF02786	Carbamoyl-phosphate synthase L chain, ATP binding domain	Other	0	172	181	6	10809	10903	0.0000	1.0	1.0
PF01728	FtsJ-like methyltransferase	Other	0	172	181	4	10809	10903	0.0000	1.0	1.0
PF25806	ERCC6L2-like, ribbon-helix-helix domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF20877	Alpha-beta plait domain in TMEM16 lipid scramblase	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF22468	ACT domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF02450	Lecithin:cholesterol acyltransferase	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF04511	Der1-like family	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF02142	MGS-like domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF00676	Dehydrogenase E1 component	Other	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF01020	Ribosomal L40e family	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF10680	RNA polymerase I specific transcription initiation factor	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF24901	DNA replication licensing factor MCM7, winged helix	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF14824	Sirohaem biosynthesis protein central	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF01965	DJ-1/PfpI family	Other	0	172	181	6	10809	10903	0.0000	1.0	1.0
PF09468	Ydr279p protein family (RNase H2 complex component) wHTH domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF04161	Arv1-like family	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF17747	VID27 PH-like domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00498	FHA domain	Other	0	172	181	10	10809	10903	0.0000	1.0	1.0
PF06993	Protein of unknown function (DUF1304)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF05615	Tho complex subunit 7	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF13638	PIN domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF18592	Tho1/MOS11 C-terminal domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF03849	Transcription factor Tfb2	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00076	RNA recognition motif	Other	0	172	181	59	10809	10903	0.0000	1.0	1.0
PF20256	Molybdopterin cofactor-binding domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF16655	PhoD-like phosphatase, N-terminal domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF21403	OTU1, UBXL domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF12780	P-loop containing dynein motor region D4	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF08156	NOP5NT (NUC127) domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF07885	Ion channel	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF20772	TACO1/YebC protein N-terminal domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00656	Caspase domain	Other	0	172	181	4	10809	10903	0.0000	1.0	1.0
PF13302	Acetyltransferase (GNAT) domain	Other	0	172	181	4	10809	10903	0.0000	1.0	1.0
PF08639	DNA replication regulator SLD3, STD domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF01171	PP-loop family	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF01909	Nucleotidyltransferase domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF17682	Tau95 Triple barrel domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF02156	Glycosyl hydrolase family 26	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF06522	NADH-ubiquinone reductase complex 1 MLRQ subunit	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF18210	Knl1 RWD C-terminal domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00732	GMC oxidoreductase	Other	0	172	181	32	10809	10903	0.0000	1.0	1.0
PF16078	2-oxoglutarate dehydrogenase N-terminus	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF17404	Nrap protein domain 3	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF03669	PAT complex subunit Asterix	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF13907	Chromodomain-helicase-DNA-binding protein 1-like, C-terminal	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF07571	TAF6 C-terminal HEAT repeat domain	NLR-associated	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF08766	DEK C terminal domain	Other	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF00098	Zinc knuckle	Other	0	172	181	5	10809	10903	0.0000	1.0	1.0
PF17907	AWS domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF09324	Mon2/Sec7/BIG1-like, HDS	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF10596	U6-snRNA interacting domain of PrP8	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF05022	SRP40, C-terminal domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF14114	Domain of unknown function (DUF4286)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF04681	Blastomyces yeast-phase-specific protein	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF02806	Alpha amylase, C-terminal all-beta domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00163	Ribosomal protein S4/S9 N-terminal domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF00474	Sodium:solute symporter family	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF01699	Sodium/calcium exchanger protein	Other	0	172	181	7	10809	10903	0.0000	1.0	1.0
PF07366	SnoaL-like polyketide cyclase	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF02225	PA domain	Other	0	172	181	8	10809	10903	0.0000	1.0	1.0
PF00682	HMGL-like	Other	0	172	181	4	10809	10903	0.0000	1.0	1.0
PF08528	Whi5 like	Other	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF21202	Structure-specific endonuclease subunit SLX1, C-terminal	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF01116	Fructose-bisphosphate aldolase class-II	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF25486	Domain of unknown function (DUF7909)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF21369	STL11, N-terminal	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF12842	CCR4-Not complex, Not1 subunit, domain of unknown function DUF3819	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF02544	3-oxo-5-alpha-steroid 4-dehydrogenase	Other	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF09769	Apolipoprotein O	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF09229	Activator of Hsp90 ATPase, N-terminal	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF12824	Mitochondrial ribosomal protein subunit L20	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF01476	LysM domain	Other	0	172	181	18	10809	10903	0.0000	1.0	1.0
PF00564	PB1 domain	Other	0	172	181	4	10809	10903	0.0000	1.0	1.0
PF02803	Thiolase, C-terminal domain	Other	0	172	181	5	10809	10903	0.0000	1.0	1.0
PF01817	Chorismate mutase type II	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF08216	Catenin-beta-like, Arm-motif containing nuclear	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF05832	Eukaryotic protein of unknown function (DUF846)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF18296	MID domain of medPIWI	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF06102	rRNA biogenesis protein RRP36	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF07896	Protein of unknown function (DUF1674)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF25171	WDR36/Utp21 first beta-propeller	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF04566	RNA polymerase Rpb2, domain 4	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF01015	Ribosomal S3Ae family	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF01018	GTP1/OBG	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF05724	Thiopurine S-methyltransferase (TPMT)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00775	Dioxygenase	Other	0	172	181	5	10809	10903	0.0000	1.0	1.0
PF03101	FAR1 DNA-binding domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF15906	Zinc-finger of nitric oxide synthase-interacting protein	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF09462	Mus7/MMS22 family	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF05131	Pep3/Vps18/deep orange beta-propeller domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00289	Biotin carboxylase, N-terminal domain	Other	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF22799	Cell wall mannoprotein PIR1-like, C-terminal domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF10176	NEDD4/Bsd2	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF03937	Flavinator of succinate dehydrogenase	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF25480	Domain of unknown function (DUF7904)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF03839	Translocation protein Sec62	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF03028	Dynein heavy chain region D6 P-loop domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF12814	Meiotic cell cortex C-terminal pleckstrin homology	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF05502	Dynactin p62 family	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF07250	Glyoxal oxidase N-terminus	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF23151	NuiA-like	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF22669	Endonuclease/Exonuclease/phosphatase family 2	Other	0	172	181	5	10809	10903	0.0000	1.0	1.0
PF11882	Domain of unknown function (DUF3402)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF11374	Protein of unknown function (DUF3176)	Other	0	172	181	11	10809	10903	0.0000	1.0	1.0
PF10232	Mediator of RNA polymerase II transcription complex subunit 8	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF03453	MoeA N-terminal region (domain I and II)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF02548	Ketopantoate hydroxymethyltransferase	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF08316	Pal1 cell morphology protein	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF12701	Scd6-like Sm domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF01193	RNA polymerase Rpb3/Rpb11 dimerisation domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF04106	Autophagy protein ATG5, UblB domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF23550	DNA repair protein rhp7 treble clef domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF13398	Peptidase M50B-like	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF02375	jmjN domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF04266	ASCH domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF18149	N-terminal helicase PWI domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF23566	RTG2 C-terminal domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00797	N-acetyltransferase	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF00743	Flavin-binding monooxygenase-like	Other	0	172	181	14	10809	10903	0.0000	1.0	1.0
PF03366	YEATS family	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF24916	Fungal GCN1-like, HEAT repeats	NLR-associated	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF02366	Dolichyl-phosphate-mannose-protein mannosyltransferase	Other	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF14668	Rapamycin-insensitive companion of mTOR, domain 5	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF01284	Membrane-associating domain	Other	0	172	181	8	10809	10903	0.0000	1.0	1.0
PF00534	Glycosyl transferases group 1	Other	0	172	181	6	10809	10903	0.0000	1.0	1.0
PF11970	G protein-coupled glucose receptor regulating Gpa2 C-term	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF04114	Gaa1-like, GPI transamidase component	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF08170	POPLD (NUC188) domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF07962	Replication Fork Protection Component Swi3	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF08600	NuBaID, C-terminal domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF10274	Parkin co-regulated protein	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF25574	Importin subunit beta-1-like, TPR repeats	NLR-associated	0	172	181	5	10809	10903	0.0000	1.0	1.0
PF08566	Mitochondrial import protein Pam17	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF01068	ATP dependent DNA ligase domain	Other	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF00892	EamA-like transporter family	Other	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF08491	Squalene epoxidase	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF18098	26S proteasome regulatory subunit RPN5 C-terminal domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF14616	Transcription regulator Rua1, C-terminal	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00487	Fatty acid desaturase	Other	0	172	181	7	10809	10903	0.0000	1.0	1.0
PF02889	Sec63 Brl domain	Other	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF02110	Hydroxyethylthiazole kinase family	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00416	Ribosomal protein S13/S18	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF05841	Apc15p protein	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF14288	1,3-beta-glucan synthase subunit FKS1, domain-1	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF16213	Mon2/Sec7/BIG1-like, dimerisation and cyclophilin-binding domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF09090	MIF4G like	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF08059	SEP domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00012	Hsp70 protein	Other	0	172	181	12	10809	10903	0.0000	1.0	1.0
PF00481	Protein phosphatase 2C	Other	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF12311	Protein of unknown function (DUF3632)	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF01244	Membrane dipeptidase (Peptidase family M19)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF08625	Utp13 specific WD40 associated domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF04494	WD40 associated region in TFIID subunit, NTD2 domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF16988	Vacuolar protein sorting 36 NZF-N zinc-finger domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF03798	TLC domain	Other	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF05739	SNARE domain	Other	0	172	181	4	10809	10903	0.0000	1.0	1.0
PF12254	DNA polymerase alpha subunit p180 N terminal	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF01331	mRNA capping enzyme, catalytic domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF04893	Yip1 domain	Other	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF17110	Subunit 11 of the general transcription factor TFIIH	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF16900	Replication protein A OB domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF07960	CBP4	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF25422	Domain of unknown function (DUF7892)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00244	14-3-3 protein	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF12929	Stretch-activated Ca2+-permeable channel component	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF01493	GXGXG motif	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF17781	RPN1 N-terminal domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF20434	BD-FAE	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF01575	MaoC like domain	Other	0	172	181	4	10809	10903	0.0000	1.0	1.0
PF13230	Glutamine amidotransferases class-II	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF12044	Putative peptidase family	Other	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF03483	B3/4 domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF23605	1,3-beta-glucan synthase component FKS1, second domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF07808	RED-like protein N-terminal region	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF05255	Uncharacterised protein family (UPF0220)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF10446	Protein of unknown function (DUF2457)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF10306	Hypothetical protein FLILHELTA	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF10159	Multiple myeloma tumor-associated	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF05277	Protein of unknown function (DUF726)	Other	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF10345	Cohesin loading factor	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF24492	Proteasome adapter and scaffold protein ECM29, HEAT-repeat domain	NLR-associated	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF08695	Cytochrome oxidase complex assembly protein 1	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF08640	U3 small nucleolar RNA-associated protein 6	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF08881	CVNH domain	Other	0	172	181	6	10809	10903	0.0000	1.0	1.0
PF05057	Putative serine esterase (DUF676)	NLR-associated	0	172	181	9	10809	10903	0.0000	1.0	1.0
PF15402	MELT motif	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF03980	Nnf1	NLR-associated	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF02823	ATP synthase, Delta/Epsilon chain, beta-sandwich domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF13207	AAA domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF21162	ETF-QO, ubiquinone-binding	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF21762	DNA polymerase III subunit epsilon-like, C-terminal domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00814	tRNA N6-adenosine threonylcarbamoyltransferase	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF03465	eRF1 domain 3	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF02878	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF04051	Transport protein particle (TRAPP) component	Other	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF17769	Phosphoribosylaminoimidazole carboxylase C-terminal domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF02985	HEAT repeat	NLR-associated	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF21938	CAP, N-terminal domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF03953	Tubulin C-terminal domain	Other	0	172	181	4	10809	10903	0.0000	1.0	1.0
PF00208	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF02671	Paired amphipathic helix repeat	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF17286	PRMT5 oligomerisation domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF21960	RCF1/5-like, AAA+ ATPase lid domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF07876	Stress responsive A/B Barrel Domain	Other	0	172	181	4	10809	10903	0.0000	1.0	1.0
PF02145	Rap/ran-GAP	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF23582	RGF3 winged helix domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF06814	GOST, seven transmembrane domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF09298	Fumarylacetoacetase N-terminal	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF04760	Translation initiation factor IF-2, N-terminal region	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF14765	Polyketide synthase dehydratase N-terminal domain	Other	0	172	181	16	10809	10903	0.0000	1.0	1.0
PF02792	Mago nashi protein	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF13558	SbcC/RAD50-like, Walker B motif	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF13136	Protein of unknown function (DUF3984)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF06172	Cupin superfamily (DUF985)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF06398	Integral peroxisomal membrane peroxin	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF01423	LSM domain	Other	0	172	181	16	10809	10903	0.0000	1.0	1.0
PF05365	Ubiquinol-cytochrome C reductase, UQCRX/QCR9 like	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF01058	NADH ubiquinone oxidoreductase, 20 Kd subunit	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF08991	Cx9C motif-containing protein 4	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF23214	Mitochondrial protein cyt-4 SH3 domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF08783	DWNN domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF01979	Amidohydrolase family	Other	0	172	181	9	10809	10903	0.0000	1.0	1.0
PF05291	Bystin	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF01221	Dynein light chain type 1	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF07064	RIC1 C-terminal alpha solenoid region	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00232	Glycosyl hydrolase family 1	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00385	Chromo (CHRromatin Organisation MOdifier) domain	Other	0	172	181	7	10809	10903	0.0000	1.0	1.0
PF14639	Holliday-junction resolvase-like of SPT6	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF01222	Ergosterol biosynthesis ERG4/ERG24 family	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF01199	Ribosomal protein L34e	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF23579	Tubulin-specific chaperone D-like, ARM repeat	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF07823	Cyclic phosphodiesterase-like protein	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF05693	Glycogen synthase	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF01263	Aldose 1-epimerase	Other	0	172	181	4	10809	10903	0.0000	1.0	1.0
PF05730	CFEM domain	Other	0	172	181	18	10809	10903	0.0000	1.0	1.0
PF13875	Domain of unknown function (DUF4202)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF24550	Dynamin-like GTPase MGM1-like, lipid interacting stalk	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF08058	Nuclear pore complex component	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF03540	Transcription initiation factor TFIID 23-30kDa subunit	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF04869	Uso1 / p115 like vesicle tethering protein, head region	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF07716	Basic region leucine zipper	Other	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF12359	Protein of unknown function (DUF3645)	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF25780	IPO5-like, TPR repeats	NLR-associated	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF07792	Docking domain of Afi1 for Arf3 in vesicle trafficking	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF04564	U-box domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF17911	Ski2 N-terminal region	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF01529	DHHC palmitoyltransferase	Other	0	172	181	6	10809	10903	0.0000	1.0	1.0
PF16752	Tubulin-specific chaperone C N-terminal domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF09260	Alpha-amylase, domain C	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF02540	NAD synthase	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF10356	Required for respiratory growth protein 7	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF18137	Origin recognition complex winged helix C-terminal	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF11022	ATP synthase subunit K	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF13934	Nuclear pore complex assembly	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF08920	Splicing factor 3B subunit 1	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF02791	DDT domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF16561	Glycogen recognition site of AMP-activated protein kinase	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF11338	Protein of unknown function (DUF3140)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF22917	PRISE-like Rossmann-fold domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF22682	Large ribosomal subunit protein uL24m	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF14031	Putative serine dehydratase domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF08174	Cell division protein anillin	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF05336	L-rhamnose mutarotase	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF05347	Complex 1 protein (LYR family)	Other	0	172	181	4	10809	10903	0.0000	1.0	1.0
PF00834	Ribulose-phosphate 3 epimerase family	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF04005	Hus1-like protein	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF14845	beta-acetyl hexosaminidase like	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00276	Ribosomal protein L23	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF06441	Epoxide hydrolase N terminus	Other	0	172	181	5	10809	10903	0.0000	1.0	1.0
PF16746	BAR domain of APPL family	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
